Date,Daily_Net_Sentiment
2021-10-12,0.0
2021-10-15,-0.8655602335929871
2021-10-18,0.5586637854576111
2021-10-19,0.0
2021-10-27,-0.9621626138687134
2021-10-29,0.0
2021-11-01,0.906741738319397
2021-11-02,-0.4798972010612488
2021-11-03,0.0
2021-11-04,0.4171210726102193
2021-11-05,0.13566041588783265
2021-11-06,0.7557414770126343
2021-11-08,0.03924223780632019
2021-11-09,0.1378820538520813
2021-11-10,0.3024025807778041
2021-11-11,-0.158792120218277
2021-11-12,-0.02918018102645874
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,-0.0029386639595031737
2021-11-16,0.25668974433626446
2021-11-17,0.04478575695644726
2021-11-18,0.023208005861802536
2021-11-19,-0.10383836030960084
2021-11-20,0.0
2021-11-22,0.011449933052062988
2021-11-23,0.13407613171471489
2021-11-24,0.021444886922836304
2021-11-25,0.1567695008383857
2021-11-26,0.0131269171833992
2021-11-29,-0.0067007144292195635
2021-11-30,0.26325471834702924
2021-12-01,0.0
2021-12-02,-0.9360142350196838
2021-12-03,-0.474515438079834
2021-12-06,0.3286895751953125
2021-12-07,0.4515041708946228
2021-12-08,-0.4560100883245468
2021-12-09,-0.018633615970611573
2021-12-10,-0.20385673973295423
2021-12-11,0.0
2021-12-13,-0.10227812420238148
2021-12-14,0.1143567291173068
2021-12-15,0.0
2021-12-16,0.18293237023883396
2021-12-17,-0.11001447174284193
2021-12-18,0.0
2021-12-20,-0.012443339824676514
2021-12-21,0.10821932554244995
2021-12-22,0.08102939277887344
2021-12-23,0.05438388718499078
2021-12-24,0.2599731513432094
2021-12-25,0.0
2021-12-27,0.4744445284207662
2021-12-28,-0.38013897623334614
2021-12-29,-0.2722100391983986
2021-12-30,-0.15353966610772268
2021-12-31,0.16201900442441305
2022-01-01,-0.1485137790441513
2022-01-03,0.09475007653236389
2022-01-04,-0.060087095607410775
2022-01-05,-0.19164338376786974
2022-01-06,0.18131339975765773
2022-01-07,-0.27075646140358667
2022-01-08,0.0
2022-01-10,-0.07248505262228158
